,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.34,0.75,0.31,0.52,0.88,0.98,0.5,0.72
etics.csv,0.96,0.56,0.26,0.48,0.74,0.29,0.52,0.7
genecys.csv,0.36,0.78,0.35,0.56,1.0,0.56,0.52,0.8
kvs.csv,0.25,0.32,0.97,0.43,0.32,0.19,0.26,0.36
mcore3d.csv,0.35,1.0,0.39,0.48,0.9,0.49,0.54,0.78
miranda.csv,0.3,0.17,0.22,0.32,0.58,0.42,0.43,0.99
ogrehg.csv,0.52,0.47,0.32,0.98,0.71,0.39,0.37,0.6
passwordsafe.csv,0.34,0.62,0.43,0.54,0.67,0.33,0.99,0.63
