,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,484.5,98.5,189.0,648.5,489.0,592.0,197.5,196.0,98.5,99.0
geotools.csv,196.0,98.5,480.5,648.5,98.5,349.0,197.5,196.0,98.5,93.5
gephex.csv,99.0,98.5,654.5,648.5,197.5,930.5,198.0,99.0,99.0,98.5
haggle.csv,94.0,98.5,574.0,73.5,1162.0,246.5,197.5,196.0,97.5,26.5
java-gnome.csv,99.0,97.5,474.5,87.5,765.5,441.5,198.0,188.0,98.5,99.0
jgnash.csv,196.0,98.5,474.5,183.0,98.5,345.0,198.0,196.0,97.5,94.5
jrdf.csv,99.0,91.5,802.5,276.5,98.5,496.0,99.0,99.0,98.5,98.5
mpqc.csv,388.0,88.5,1214.5,86.5,390.0,474.0,98.5,196.0,99.0,99.0
panda3d.csv,294.5,186.0,287.5,87.5,97.5,480.0,99.0,96.5,93.5,95.5
tencompetence.csv,99.0,93.5,783.5,80.5,197.5,1707.0,97.5,99.0,99.0,95.5
