,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.26,0.33,1.0,0.0,0.71,0.42,0.2,0.25,0.2,0.5,0.1,0.04,0.19,0.53,0.19,0.04,0.78,0.95,0.96,0.62
baadengine.csv,0.93,0.06,0.96,0.01,0.71,0.33,0.31,0.27,0.17,0.51,0.12,0.04,0.2,0.57,0.28,0.12,0.84,0.95,0.91,0.81
bibedt.csv,0.92,0.08,0.94,0.02,0.77,0.35,0.45,0.36,0.22,0.89,0.11,0.05,0.67,0.7,0.27,0.07,0.84,0.95,0.91,0.86
cascading.csv,0.78,0.07,0.98,0.02,0.67,0.29,0.44,0.27,0.23,0.87,0.15,0.03,0.37,0.71,0.17,0.1,0.85,1.0,0.9,0.89
chaosrts.csv,0.88,0.0,0.96,0.03,0.8,0.34,0.31,0.31,0.18,0.48,0.1,0.05,0.22,0.62,0.21,0.08,0.83,0.94,0.97,0.85
exl.csv,0.85,0.07,0.98,0.01,0.73,0.32,0.49,0.27,0.21,0.35,0.17,0.0,0.24,0.59,0.11,0.12,0.79,1.0,0.89,0.94
gnome-jabber.csv,0.87,0.0,0.95,0.0,0.58,0.6,0.23,0.3,0.18,0.42,0.11,0.05,0.14,0.6,0.27,0.12,0.81,0.98,0.88,0.67
gogoego.csv,0.84,0.0,0.92,0.03,0.79,0.29,0.52,0.39,0.18,0.47,0.18,0.17,0.35,0.93,0.35,0.1,0.86,0.96,0.91,0.96
httpcontentparser.csv,0.71,0.03,0.98,0.0,0.62,0.12,1.0,0.28,0.19,0.83,0.29,0.03,0.26,0.68,0.14,0.12,0.77,1.0,0.81,0.95
impala.csv,0.59,0.1,1.0,0.02,0.57,0.36,0.32,0.21,0.18,0.2,0.11,0.0,0.23,0.5,0.18,0.25,0.75,0.93,0.87,0.89
jaxlib.csv,0.84,0.04,0.96,0.0,0.61,0.33,0.57,0.29,0.26,0.39,0.14,0.4,0.36,0.79,0.13,0.1,0.83,1.0,0.91,0.86
jgameai.csv,0.69,0.11,1.0,0.0,0.55,0.44,0.0,0.19,0.08,0.33,0.07,0.08,0.17,0.44,0.12,0.13,0.91,0.94,0.8,0.62
jhotdraw.csv,0.72,0.07,0.98,0.01,0.56,0.3,0.5,0.23,0.49,0.33,0.07,0.03,0.17,0.36,0.13,0.09,0.81,0.94,0.87,0.7
patterntesting.csv,0.78,0.06,0.98,0.01,0.64,0.3,0.38,0.24,0.19,0.63,0.11,0.04,0.22,0.61,0.13,0.11,0.79,0.98,0.89,0.76
pokeglobal.csv,0.76,0.07,0.98,0.04,0.79,0.24,0.31,0.26,0.18,0.4,0.13,0.0,0.2,0.46,0.11,0.14,0.87,0.92,0.9,0.7
snakeyaml.csv,0.74,0.0,0.97,0.05,0.85,0.3,0.48,0.37,0.27,0.77,0.2,0.0,0.0,0.88,0.35,0.03,0.86,1.0,0.92,0.95
unflobtactical.csv,0.78,0.09,0.98,0.02,0.64,0.31,0.83,0.27,0.19,0.58,0.18,0.03,0.31,0.74,0.17,0.09,0.85,0.98,0.91,0.85
werx.csv,0.75,0.08,1.0,0.01,0.59,0.29,0.31,0.23,0.18,0.38,0.1,0.04,0.2,0.57,0.13,0.12,0.78,0.95,0.88,0.73
zealos.csv,0.91,0.0,1.0,0.0,1.0,0.62,0.51,0.39,0.14,0.62,0.0,0.0,0.0,0.67,0.5,0.0,0.89,1.0,0.96,0.0
