,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.39,0.37,0.33,0.37,0.31,0.34,0.46,0.41,0.32,0.37,0.38,0.43,0.38,0.4,0.35
cornerstone.csv,0.5,0.94,0.42,0.8,0.32,0.43,0.68,0.93,0.44,0.48,0.94,0.81,0.34,0.33,0.0
esmf.csv,0.43,0.56,0.93,0.43,0.41,0.39,0.54,0.7,0.53,0.5,0.47,0.53,0.83,0.46,0.43
frogatto.csv,0.36,0.38,0.27,0.35,0.34,0.32,0.54,0.4,0.35,0.38,0.35,0.42,0.41,0.39,0.38
gretl.csv,0.51,0.45,0.37,0.46,0.44,0.41,0.42,0.45,0.42,0.5,0.47,0.44,0.42,0.3,0.52
kindb.csv,0.36,0.59,0.31,0.37,0.39,0.35,0.54,0.4,0.52,0.0,0.4,0.52,0.39,0.34,0.51
libtorrent.csv,0.41,0.42,0.42,0.43,0.38,0.34,0.41,0.47,0.4,0.57,0.38,0.54,0.38,0.42,0.38
mia.csv,0.57,0.91,0.83,0.57,0.74,0.38,0.8,0.8,0.45,0.71,0.49,0.71,0.0,0.41,0.68
open-beos.csv,0.43,0.5,0.49,0.49,0.39,0.53,0.59,0.54,0.39,0.55,0.42,0.49,0.48,0.44,0.6
pidgin.csv,0.48,0.6,0.45,0.56,0.34,0.34,0.68,0.49,0.4,0.83,0.41,0.45,0.41,0.45,0.39
quantlib.csv,0.67,0.44,0.38,0.4,0.37,0.58,0.65,0.72,0.44,0.5,0.53,0.95,0.86,0.52,0.66
riff-evolve.csv,0.59,0.55,0.43,0.58,0.4,0.43,0.57,0.4,0.52,0.8,0.51,0.53,0.42,0.56,0.94
tokratan.csv,0.61,0.41,0.83,0.48,0.36,0.61,0.69,0.42,0.38,0.71,0.44,0.54,0.88,0.33,0.89
upp-mirror.csv,0.67,0.49,0.4,0.51,0.41,0.86,0.93,0.5,0.56,0.67,0.47,0.73,0.57,0.44,0.68
wxcrp.csv,0.46,0.46,0.48,0.41,0.56,0.42,0.51,0.41,0.69,0.86,0.5,0.45,0.42,0.83,0.4
