,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,97.5,98.5,95.5,99.0,98.5,297.0,296.5,97.5,367.0,98.5,270.5,281.5,98.5,293.5
autowikibrowser.csv,97.5,192.0,178.0,99.0,98.5,198.0,197.5,295.0,563.0,197.5,270.5,280.5,98.5,195.0
cities3d.csv,97.5,53.0,95.5,99.0,96.5,99.0,107.0,97.5,0.0,195.5,180.0,91.5,96.5,43.5
kmatplot.csv,196.5,94.5,194.0,99.0,97.5,99.0,182.0,480.0,59.5,197.5,369.0,98.5,96.5,96.5
libarchive.csv,295.0,98.5,194.0,99.0,98.5,297.0,296.5,295.0,195.0,98.5,464.5,98.5,98.5,195.0
lphant.csv,196.5,192.0,261.5,99.0,98.5,198.0,98.5,295.0,563.0,195.5,186.0,98.5,98.5,195.0
mob-sen-plat.csv,295.0,192.0,279.5,99.0,98.5,198.0,196.5,394.0,367.0,98.5,366.0,379.0,98.5,96.5
mscore.csv,99.0,98.5,194.0,99.0,98.5,198.0,98.5,580.0,556.0,197.5,464.5,197.5,98.5,293.5
pidgin.csv,99.0,194.0,95.5,99.0,98.5,198.0,196.5,196.5,96.5,98.5,464.5,377.0,94.5,195.0
quickfast.csv,1427.0,192.0,365.0,1675.0,98.5,492.5,395.0,295.0,653.5,197.5,562.0,98.5,94.5,195.0
raygina.csv,1307.0,192.0,51.0,99.0,97.5,297.0,93.5,394.0,79.5,294.0,464.5,98.5,93.5,293.5
riff-evolve.csv,97.5,98.5,95.5,99.0,98.5,297.0,98.5,97.5,367.0,195.5,270.5,281.5,98.5,96.5
upp-mirror.csv,97.5,94.5,157.0,99.0,98.5,92.5,296.0,383.5,436.0,98.5,231.5,576.5,98.5,173.0
wishmaster.csv,97.5,94.5,261.5,1477.0,98.5,295.0,84.5,481.0,275.5,464.0,87.5,377.0,190.0,66.5
