,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.65,0.38,0.47,0.5,0.52,0.59,0.69,0.6,0.48,0.69,1.0,0.79
gmerlin.csv,0.72,0.79,0.62,1.0,0.77,1.0,0.46,0.77,1.0,0.94,1.0,1.0
google-gears.csv,0.51,0.46,0.58,0.69,0.79,0.61,0.78,0.42,0.49,0.6,0.74,0.87
gstreamer.csv,0.71,0.93,0.57,0.77,0.91,0.9,0.73,0.64,0.42,0.59,0.69,1.0
lportal.csv,0.94,0.91,0.96,0.96,0.91,0.32,0.97,1.0,0.62,0.96,0.66,0.89
metacosm.csv,0.66,0.61,0.62,0.85,0.57,0.64,0.77,0.72,0.7,0.68,0.75,0.32
mplayer-ce.csv,0.8,0.42,0.63,0.62,0.69,0.95,0.71,0.79,0.55,0.66,0.55,0.87
openmeetings.csv,0.53,0.19,0.65,0.71,0.62,0.59,0.73,0.81,0.64,0.46,0.68,0.55
qgis.csv,0.72,0.63,0.43,1.0,0.72,0.61,0.73,0.74,0.7,0.7,0.97,0.5
skia.csv,0.44,0.43,0.65,0.61,0.52,0.78,0.68,0.66,0.75,0.39,0.7,0.72
wxcrp.csv,0.56,0.94,0.55,0.65,0.93,0.84,0.89,0.64,0.76,0.7,0.75,0.94
yafdotnet.csv,0.47,0.45,0.55,0.67,0.38,0.49,0.62,0.65,0.62,0.57,0.68,0.64
