,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.38,0.61,0.1,0.96,0.54,0.41,0.3,0.0,0.21,0.4
ffigo.csv,0.17,0.54,0.46,0.54,0.38,0.41,0.37,0.0,0.98,0.29
foursquared.csv,0.12,0.26,0.19,0.06,0.97,0.04,0.17,0.0,0.0,0.18
gebr.csv,0.48,0.21,0.98,0.43,0.6,0.56,0.58,0.54,0.5,0.72
ildjit.csv,0.94,0.09,0.07,0.0,0.05,0.1,0.05,0.0,0.04,0.0
jfreereport.csv,0.64,0.89,0.34,0.47,0.29,0.3,0.24,0.0,0.29,0.34
kml.csv,0.2,0.64,0.42,0.75,0.79,0.98,0.55,0.42,0.51,0.55
ng4j.csv,0.23,0.47,0.55,0.24,0.68,0.55,0.49,0.0,0.24,1.0
pcsx2.csv,0.55,0.56,0.69,0.29,0.5,0.39,0.98,0.0,0.28,0.58
wxjs.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0
