,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.43,0.91,0.44,0.27,0.44,0.65,0.57,0.93,0.47,0.31,0.37
libtorrent.csv,0.93,0.64,1.0,0.87,1.0,0.95,0.98,1.0,1.0,0.95,0.98
mcmc-jags.csv,0.44,0.32,0.22,0.6,0.47,0.53,0.63,0.18,0.27,0.48,0.79
natpad.csv,0.54,0.45,0.78,0.6,0.67,0.43,0.59,0.86,0.2,0.69,0.65
nebuladevice.csv,0.23,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.4,0.02,0.0
olap-navigator.csv,0.85,0.55,0.89,0.67,0.71,0.52,0.63,0.64,0.87,0.91,0.44
pidgin.csv,0.77,0.73,0.96,0.67,0.91,0.74,0.78,0.89,0.73,0.92,0.79
salasaga.csv,0.49,0.36,0.0,0.53,0.2,0.27,0.41,0.25,0.07,0.32,0.53
sepgsql.csv,0.02,0.14,0.04,0.0,0.12,0.1,0.04,0.0,0.0,0.0,0.0
xstore.csv,0.54,0.41,1.0,0.53,0.94,0.38,0.67,0.96,0.47,0.93,0.98
xtreemfs.csv,0.46,0.77,0.56,0.47,0.69,0.51,0.65,0.54,0.13,0.9,0.67
